ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60620,1,01/03/2021,01/09/2021,166,4090,244,6006.2,2122,48812,3116,71681.2,0.1,0.1,4,121,5.9,177.7,68096,60620-2021-1,POINT (-87.651656 41.740873)
60620,3,01/17/2021,01/23/2021,108,4332,159,6361.6,2025,52933,2974,77732.9,0.1,0.1,3,127,4.4,186.5,68096,60620-2021-3,POINT (-87.651656 41.740873)
60620,4,01/24/2021,01/30/2021,79,4411,116,6477.6,1886,54819,2770,80502.5,0.1,0.1,0,127,0.0,186.5,68096,60620-2021-4,POINT (-87.651656 41.740873)
60620,5,01/31/2021,02/06/2021,67,4478,98,6576,1682,56501,2470,82972.6,0.0,0.1,3,130,4.4,190.9,68096,60620-2021-5,POINT (-87.651656 41.740873)
60626,42,10/11/2020,10/17/2020,50,1562,100,3141,2299,34164,4623,68699,0.0,0.0,0,121,0.0,243.3,49730,60626-2020-42,POINT (-87.669834 42.009469)
60626,43,10/18/2020,10/24/2020,95,1657,191,3332,2130,36294,4283,72982.1,0.0,0.0,0,121,0.0,243.3,49730,60626-2020-43,POINT (-87.669834 42.009469)
60630,40,09/27/2020,10/03/2020,59,1387,103,2418.7,1094,19201,1908,33483.9,0.1,0.1,1,67,1.7,116.8,57344,60630-2020-40,POINT (-87.759611 41.971261)
60630,41,10/04/2020,10/10/2020,84,1471,146,2565.2,1228,20429,2142,35625.3,0.1,0.1,0,67,0.0,116.8,57344,60630-2020-41,POINT (-87.759611 41.971261)
60630,42,10/11/2020,10/17/2020,132,1603,230,2795.4,1442,21871,2515,38140,0.1,0.1,0,67,0.0,116.8,57344,60630-2020-42,POINT (-87.759611 41.971261)
60630,3,01/17/2021,01/23/2021,136,4586,237,7997.3,1589,46200,2771,80566.4,0.1,0.1,2,109,3.5,190.1,57344,60630-2021-3,POINT (-87.759611 41.971261)
60630,4,01/24/2021,01/30/2021,104,4690,181,8178.7,1564,47764,2727,83293.8,0.1,0.1,0,109,0.0,190.1,57344,60630-2021-4,POINT (-87.759611 41.971261)
60630,5,01/31/2021,02/06/2021,90,4780,157,8335.7,1425,49189,2485,85778.8,0.1,0.1,2,111,3.5,193.6,57344,60630-2021-5,POINT (-87.759611 41.971261)
60621,29,07/12/2020,07/18/2020,12,613,41,2110.7,585,5819,2014,20036.5,0.0,0.1,1,51,3.4,175.6,29042,60621-2020-29,POINT (-87.638812 41.776931)
60621,30,07/19/2020,07/25/2020,25,638,86,2196.8,411,6230,1415,21451.7,0.1,0.1,0,51,0.0,175.6,29042,60621-2020-30,POINT (-87.638812 41.776931)
60621,31,07/26/2020,08/01/2020,17,655,58,2255.4,358,6588,1233,22684.4,0.1,0.1,0,51,0.0,175.6,29042,60621-2020-31,POINT (-87.638812 41.776931)
60621,32,08/02/2020,08/08/2020,19,674,65,2320.8,398,6986,1370,24054.8,0.0,0.1,0,51,0.0,175.6,29042,60621-2020-32,POINT (-87.638812 41.776931)
60626,44,10/25/2020,10/31/2020,143,1800,288,3619.5,2304,38598,4633,77615.1,0.1,0.0,2,123,4.0,247.3,49730,60626-2020-44,POINT (-87.669834 42.009469)
60626,45,11/01/2020,11/07/2020,228,2028,458,4078,2490,41088,5007,82622.2,0.1,0.0,1,124,2.0,249.3,49730,60626-2020-45,POINT (-87.669834 42.009469)
60626,46,11/08/2020,11/14/2020,280,2308,563,4641.1,3125,44213,6284,88906.1,0.1,0.1,1,125,2.0,251.4,49730,60626-2020-46,POINT (-87.669834 42.009469)
60626,47,11/15/2020,11/21/2020,191,2499,384,5025.1,3435,47648,6907,95813.4,0.1,0.1,3,128,6.0,257.4,49730,60626-2020-47,POINT (-87.669834 42.009469)
60626,48,11/22/2020,11/28/2020,109,2608,219,5244.3,2642,50290,5313,101126.1,0.0,0.1,2,130,4.0,261.4,49730,60626-2020-48,POINT (-87.669834 42.009469)
60626,52,12/20/2020,12/26/2020,108,3122,217,6277.9,2383,61078,4792,122819.2,0.1,0.1,4,140,8.0,281.5,49730,60626-2020-52,POINT (-87.669834 42.009469)
60628,26,06/21/2020,06/27/2020,31,1167,46,1749,951,8918,1425,13365.5,0.0,0.1,2,104,3.0,155.9,66724,60628-2020-26,POINT (-87.621537 41.694192)
60628,28,07/05/2020,07/11/2020,58,1262,87,1891.4,1151,10936,1725,16389.9,0.1,0.1,1,106,1.5,158.9,66724,60628-2020-28,POINT (-87.621537 41.694192)
60626,49,11/29/2020,12/05/2020,141,2749,284,5527.9,2680,52970,5389,106515.2,0.1,0.1,1,131,2.0,263.4,49730,60626-2020-49,POINT (-87.669834 42.009469)
60626,50,12/06/2020,12/12/2020,132,2881,265,5793.3,2806,55776,5642,112157.7,0.0,0.1,3,134,6.0,269.5,49730,60626-2020-50,POINT (-87.669834 42.009469)
60628,40,09/27/2020,10/03/2020,35,1742,52,2610.8,945,23107,1416,34630.7,0.0,0.1,1,119,1.5,178.3,66724,60628-2020-40,POINT (-87.621537 41.694192)
60628,41,10/04/2020,10/10/2020,63,1805,94,2705.2,965,24072,1446,36077,0.1,0.1,1,120,1.5,179.8,66724,60628-2020-41,POINT (-87.621537 41.694192)
60628,42,10/11/2020,10/17/2020,87,1892,130,2835.6,1172,25244,1756,37833.5,0.1,0.1,5,125,7.5,187.3,66724,60628-2020-42,POINT (-87.621537 41.694192)
60628,47,11/15/2020,11/21/2020,253,2964,379,4442.2,1963,33436,2942,50110.9,0.1,0.1,4,139,6.0,208.3,66724,60628-2020-47,POINT (-87.621537 41.694192)
60628,48,11/22/2020,11/28/2020,170,3134,255,4697,1552,34988,2326,52436.9,0.1,0.1,7,146,10.5,218.8,66724,60628-2020-48,POINT (-87.621537 41.694192)
